Fecha;Usuario;Provincia;Canton;Distrito;Direccion;MetodoPago;Productor;Producto;Cantidad;PrecioUnitario;TotalLinea;SubtotalFactura;ImpuestoFactura;TotalFactura
2025-02-17;sleon;Puntarenas;Puntarenas;Puntarenas;Centro;Tarjeta;Orgánicos Pura Vida;Piña;5;1700.00;8500.00;8500.00;1105.00;9605.00
2025-08-31;phernandez;Heredia;Heredia;Heredia;San Francisco;Sinpe;Productores La Montaña;Miel 250ml;4;2700.00;10800.00;10800.00;1404.00;12204.00
2025-02-25;jramirez;Puntarenas;Puntarenas;Puntarenas;Centro;Sinpe;Orgánicos del Valle;Banano;4;1750.00;7000.00;7000.00;910.00;7910.00
2026-01-12;pblanco;Cartago;Cartago;Cartago;Centro;Efectivo;Agrícola Verde Vivo;Queso Fresco 500g;1;2200.00;2200.00;2200.00;286.00;2486.00
2025-07-01;sleon;Alajuela;Alajuela;Alajuela;Alajuela centro;Tarjeta;Finca Los Abuelos;Pepino;2;450.00;900.00;900.00;117.00;1017.00
2025-09-19;lfernandez;Cartago;Cartago;Cartago;Centro;Tarjeta;Agrícola San Rafael;Sandía;1;1200.00;1200.00;1200.00;156.00;1356.00
2025-11-21;pmurillo;Puntarenas;Puntarenas;Puntarenas;Centro;Sinpe;Huerta Don Memo;Culantro;6;1250.00;7500.00;7500.00;975.00;8475.00
2025-11-20;mgomez;Heredia;Heredia;Heredia;San Francisco;Tarjeta;Productores del Cerro;Café Molido 500g;5;1900.00;9500.00;9500.00;1235.00;10735.00
2025-03-11;jmata;Puntarenas;Puntarenas;Puntarenas;Centro;Tarjeta;Orgánicos Pura Vida;Culantro;7;1300.00;9100.00;9100.00;1183.00;10283.00
2026-06-11;csolano;Limón;Limón;Limón;Centro;Sinpe;Finca Sol Naciente;Leche de Almendra 1L;6;3900.00;23400.00;23400.00;3042.00;26442.00
2026-03-10;fjimenez;Puntarenas;Puntarenas;Puntarenas;Centro;Efectivo;Orgánicos del Pacífico;Culantro;2;1650.00;3300.00;3300.00;429.00;3729.00
2025-08-04;lfernandez;Puntarenas;Puntarenas;Puntarenas;Centro;Sinpe;Orgánicos del Valle;Leche de Almendra 1L;1;2200.00;2200.00;2200.00;286.00;2486.00
2025-10-19;scamacho;Alajuela;Alajuela;Alajuela;Alajuela centro;Efectivo;Finca Los Abuelos;Berenjena;6;1500.00;9000.00;9000.00;1170.00;10170.00
2025-06-25;mrivera;Limón;Limón;Limón;Centro;Tarjeta;Finca Sol Naciente;Mango;1;1550.00;1550.00;1550.00;201.50;1751.50
2025-10-10;pblanco;Cartago;Cartago;Cartago;Centro;Efectivo;Finca Mis Raíces;Cebolla;4;600.00;2400.00;2400.00;312.00;2712.00
2025-03-22;ksolis;Puntarenas;Puntarenas;Puntarenas;Centro;Efectivo;Orgánicos del Valle;Culantro;2;600.00;1200.00;1200.00;156.00;1356.00
2025-12-15;glepez;Limón;Limón;Limón;Centro;Efectivo;Finca Sol Naciente;Avena 1kg;1;3200.00;3200.00;3200.00;416.00;3616.00
2025-09-21;orodriguez;Heredia;Heredia;Heredia;San Francisco;Sinpe;Productores La Montaña;Sal Rosada 500g;1;2400.00;2400.00;2400.00;312.00;2712.00
2025-01-21;mrivera;Cartago;Cartago;Cartago;Centro;Efectivo;Agrícola Verde Vivo;Culantro;5;1000.00;5000.00;5000.00;650.00;5650.00
2025-04-10;pblanco;Limón;Limón;Limón;Centro;Tarjeta;El Buen Productor;Papaya;4;1000.00;4000.00;4000.00;520.00;4520.00
2026-12-27;phernandez;SJ;SJ;SJ;SJ;Sinpe;Huerta Santa María;Lechuga;7;450.00;3150.00;3150.00;409.50;3559.50
2026-05-13;asalas;Alajuela;Alajuela;Alajuela;Alajuela centro;Tarjeta;Productores Las Rosas;Banano;2;1250.00;2500.00;2500.00;325.00;2825.00
2026-07-27;caraya;Limón;Limón;Limón;Centro;Efectivo;Finca Sol Naciente;Lechuga;6;1600.00;9600.00;9600.00;1248.00;10848.00
2026-04-03;scamacho;Puntarenas;Puntarenas;Puntarenas;Centro;Sinpe;Orgánicos del Pacífico;Banano;5;1550.00;7750.00;7750.00;1007.50;8757.50
2025-02-21;asalas;Alajuela;Alajuela;Alajuela;Alajuela centro;Sinpe;Finca Los Abuelos;Lechuga;2;550.00;1100.00;1100.00;143.00;1243.00
2025-12-08;mjimenez;Puntarenas;Puntarenas;Puntarenas;Centro;Efectivo;Orgánicos del Pacífico;Mango;6;1400.00;8400.00;8400.00;1092.00;9492.00
2025-02-09;smora;Puntarenas;Puntarenas;Puntarenas;Centro;Tarjeta;EcoCampo CR;Culantro;6;1050.00;6300.00;6300.00;819.00;7119.00
2025-07-22;lnaranjo;Puntarenas;Puntarenas;Puntarenas;Centro;Tarjeta;Orgánicos Pura Vida;Sandía;6;750.00;4500.00;4500.00;585.00;5085.00
2025-07-25;drojas;SJ;SJ;SJ;SJ;Efectivo;Huerta Santa María;Rúcula;1;1600.00;1600.00;1600.00;208.00;1808.00
2025-05-09;vramirez;Alajuela;Alajuela;Alajuela;Alajuela centro;Efectivo;Agrícola Las Lomas;Piña;6;1050.00;6300.00;6300.00;819.00;7119.00
2025-09-24;caraya;Puntarenas;Puntarenas;Puntarenas;Centro;Tarjeta;Orgánicos del Pacífico;Banano;5;1300.00;6500.00;6500.00;845.00;7345.00
2025-12-09;glopez;Heredia;Heredia;Heredia;San Francisco;Efectivo;Valle Verde CR;Melón;7;1450.00;10150.00;10150.00;1319.50;11469.50
2026-09-11;sleon;Alajuela;Alajuela;Alajuela;Alajuela centro;Sinpe;Productores El Bosque;Pimiento;2;2300.00;4600.00;4600.00;598.00;5198.00
2025-06-09;vramirez;Cartago;Cartago;Cartago;Centro;Tarjeta;Agrícola Verde Vivo;Sandía;4;900.00;3600.00;3600.00;468.00;4068.00
2025-05-26;projas;Puntarenas;Puntarenas;Puntarenas;Centro;Sinpe;Orgánicos Pura Vida;Naranja;4;1450.00;5800.00;5800.00;754.00;6554.00
2025-03-22;glepez;Alajuela;Alajuela;Alajuela;Alajuela centro;Tarjeta;Agrícola San Pedro;Tomate;7;800.00;5600.00;5600.00;728.00;6328.00
2026-01-26;mgomez;Alajuela;Alajuela;Alajuela;Alajuela centro;Sinpe;Agrícola Las Lomas;Aguacate;4;1200.00;4800.00;4800.00;624.00;5424.00
2026-05-05;fjimenez;Heredia;Heredia;Heredia;San Francisco;Sinpe;Productores La Montaña;Aguacate;4;2600.00;10400.00;10400.00;1352.00;11752.00
2025-05-06;sleon;Puntarenas;Puntarenas;Puntarenas;Centro;Sinpe;Orgánicos Pura Vida;Lechuga;7;1600.00;11200.00;11200.00;1456.00;12656.00
2025-01-27;mvargas;Cartago;Cartago;Cartago;Centro;Efectivo;Finca Los Volcanes;Queso Fresco 500g;4;2800.00;11200.00;11200.00;1456.00;12656.00
2025-08-02;mrivera;Puntarenas;Puntarenas;Puntarenas;Centro;Sinpe;Orgánicos Pura Vida;Zanahoria;1;1000.00;1000.00;1000.00;130.00;1130.00
2025-09-29;orodriguez;Cartago;Cartago;Cartago;Centro;Tarjeta;Agrícola San Rafael;Limón;6;1350.00;8100.00;8100.00;1053.00;9153.00
2025-06-08;scamacho;SJ;SJ;SJ;SJ;Sinpe;Huerta La Cascada;Apio;2;800.00;1600.00;1600.00;208.00;1808.00
2025-10-30;mrivera;Heredia;Heredia;Heredia;San Francisco;Tarjeta;Agrícola El Progreso;Limón;5;1500.00;7500.00;7500.00;975.00;8475.00
2026-09-15;pblanco;Heredia;Heredia;Heredia;San Francisco;Efectivo;Valle Verde CR;Limón;7;800.00;5600.00;5600.00;728.00;6328.00
2025-05-13;pblanco;Puntarenas;Puntarenas;Puntarenas;Centro;Efectivo;Orgánicos del Pacífico;Avena 1kg;1;3400.00;3400.00;3400.00;442.00;3842.00
2025-02-07;ccespedes;Alajuela;Alajuela;Alajuela;Alajuela centro;Efectivo;Agrícola San Pedro;Perejil;1;600.00;600.00;600.00;78.00;678.00
2025-07-11;lsoto;Limón;Limón;Limón;Centro;Efectivo;Finca Sol Naciente;Avena 1kg;2;3100.00;6200.00;6200.00;806.00;7006.00
2025-03-10;ksolis;SJ;SJ;SJ;SJ;Sinpe;Huerta Las Brisas;Tomate;2;950.00;1900.00;1900.00;247.00;2147.00
2026-04-20;rcastro;Cartago;Cartago;Cartago;Centro;Tarjeta;Finca Mis Raíces;Lechuga;4;1700.00;6800.00;6800.00;884.00;7684.00
