Fecha;Usuario;Productor;Producto;Cantidad;PrecioUnitario;TotalLinea;SubtotalFactura;ImpuestoFactura;TotalFactura
2024-07-06;Usuario5;Huerta Las Brisas;Lechuga;3;450;1350.00;1350.00;175.50;1525.50
2024-07-07;Usuario28;El Buen Productor;Aguacate;1;1800;1800.00;1800.00;234.00;2034.00
2024-07-09;Usuario46;Productores La Montaña;Manzana;2;1100;2200.00;2200.00;286.00;2486.00
2024-07-10;Usuario8;Valle Verde CR;Pepino;2;500;1000.00;1000.00;130.00;1130.00
2024-07-12;Usuario31;Huerta La Cascada;Papa;3;700;2100.00;2100.00;273.00;2373.00
2024-07-14;Usuario12;Orgánicos del Valle;Tomate;1;650;650.00;650.00;84.50;734.50
2024-07-15;Usuario33;Productores El Manantial;Fresa;1;2200;2200.00;2200.00;286.00;2486.00
2024-07-17;Usuario7;Productores La Montaña;Mora;3;800;2400.00;2400.00;312.00;2712.00
2024-07-18;Usuario21;EcoCampo CR;Piña;1;1300;1300.00;1300.00;169.00;1469.00
2024-07-19;Usuario44;Finca Los Volcanes;Naranja;2;900;1800.00;1800.00;234.00;2034.00
2024-07-21;Usuario18;Agrícola Verde Vivo;Papa;1;700;700.00;700.00;91.00;791.00
2024-07-23;Usuario3;Productores del Cerro;Cebolla;2;600;1200.00;1200.00;156.00;1356.00
2024-07-24;Usuario29;Productores El Bosque;Lechuga;2;450;900.00;900.00;117.00;1017.00
2024-07-26;Usuario50;Agrícola San Pedro;Pepino;5;500;2500.00;2500.00;325.00;2825.00
2024-07-28;Usuario6;Agrícola San Rafael;Tomate;3;650;1950.00;1950.00;253.50;2203.50
2024-07-29;Usuario14;Orgánicos Pura Vida;Melón;1;1500;1500.00;1500.00;195.00;1695.00
2024-07-30;Usuario1;Finca Sol Naciente;Papa;2;700;1400.00;1400.00;182.00;1582.00
2024-07-31;Usuario10;Agrícola Las Lomas;Aguacate;1;1800;1800.00;1800.00;234.00;2034.00
2024-08-02;Usuario37;Agrícola El Progreso;Zanahoria;2;550;1100.00;1100.00;143.00;1243.00
2024-08-03;Usuario22;Frutas del Sol;Tomate;4;650;2600.00;2600.00;338.00;2938.00
2024-08-04;Usuario5;Huerta Las Brisas;Piña;1;1300;1300.00;1300.00;169.00;1469.00
2024-08-05;Usuario28;El Buen Productor;Plátano;3;500;1500.00;1500.00;195.00;1695.00
2024-08-06;Usuario46;Productores La Montaña;Naranja;1;900;900.00;900.00;117.00;1017.00
2024-08-08;Usuario8;Valle Verde CR;Pepino;2;500;1000.00;1000.00;130.00;1130.00
2025-12-01;ntobal;Edwin Solís;Lechuga;1;350;350;2850;370.50;3220.50
2025-12-01;ntobal;Gloria Rojas;Fresas;1;1500;1500;2850;370.50;3220.50
2025-12-01;ntobal;Josué Ramírez;Melón;1;1000;1000;2850;370.50;3220.50
2025-12-01;ntobal;Edwin Solís;Lechuga;1;350;350;2850;370.50;3220.50
2025-12-01;ntobal;Gloria Rojas;Fresas;1;1500;1500;2850;370.50;3220.50
2025-12-01;ntobal;Josué Ramírez;Melón;1;1000;1000;2850;370.50;3220.50
2025-12-01;ntobal;Gloria Rojas;Fresas;1;1500;1500;2500;325.00;2825.00
2025-12-01;ntobal;Josué Ramírez;Melón;1;1000;1000;2500;325.00;2825.00
2025-12-01;ntobal;Gloria Rojas;Fresas;1;1500;1500;2500;325.00;2825.00
2025-12-01;ntobal;Josué Ramírez;Melón;1;1000;1000;2500;325.00;2825.00
